	question	choices	answer	subject	llm
0	Ngubani ivelu ka p ku24=2p?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	C) p = 12
1	UNkosazana Perez iqhube iimayile ezingama40 kwiintsuku ezi5. Uqhube ngenani elifanayo usuku nosuku. Zingaphi iimayile aziqhubileyo unkosazana Perez usuku ngalunye?	['5', '7', '8', '9']	C	elementary_mathematics	C) 8
2	Khangela ikhothiyenti yama-40\(-8)	['1 ngaphezu ko-5', '-5', '- 1 ngaphezu ko-5', '5']	D	elementary_mathematics	A) 1 ngaphezu ko-5
3	Iqela lebhola ekhatywayo lineedola ezingama90 ukuthenga iibhola zebhola ekhatywayo. Ukuba ibhola enye ibiza iidola 	['4', '5', '6', '7']	B	elementary_mathematics	B) 5
4	Wena nabangani bakho aba3 niya kwikhonsathi. Ixabiso elipheleleyo lamatikiti ziidola ezingama112. Bhala kwaye usombulule iEquation ufune ixabiso letikiti ngalinye. 	['4t = 112; $448', '4t = 112; $28', 't ngaphezu 4 = 112; $448', 't ngaphezu 4 = 112; $28']	B	elementary_mathematics	B) 4t = 112; $28
5	Sebenzisa ukwakhiwa okungezantsi ukuphendula umbuzo. u3x [(2 x6- 5)+(8/ 4)]-1 Ngubani ivelu yokwakhiwa?	['9', '11', '26', '32']	C	elementary_mathematics	"Umbuzo ulinjalo: u3x [(2 x6- 5)+(8/ 4)]-1 

Kwanza, hamba kwenye mabano: 
2 x 6 = 12 
12 - 5 = 7 

Ngemva kwenye mabano: 
8/4 = 2 

Ngoku, baleka zonke eziphakathi kwenye mabano: 
7 + 2 = 9 

Ngoku, phuma ngaphandle kwenye mabano: 
3 x 9 = 27 

Ngoku, gawula ngo 1: 
27 - 1 = 26 

Jibu: C) 26"
6	Bhala u1 kunye no 1 phezu kwe11 njengenani elipheleleyo okanye elixutyiweyo ngokwendlela elula.	['1.1 ngaphezu ko-11', '11 ngaphezu ko-11 ', '12 ngaphezu ko-11 ', '11 ngaphezu ko-12']	C	elementary_mathematics	C) 12 ngaphezu ko-11
7	khangela ikhothiyenti yesi2.16/ 0.06.	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	B) 36
8	Khangela umohluko phakathi kuka142-16.5.	['159.26', '2.224', '14111', '126.26']	D	elementary_mathematics	D) 125.5
9	Khangela ikhothiyenti ka5.04/0.7.	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	D) 7.2
10	UJimmy kunye noKima bayakuhambo. Bazakuqhuba iintsuku eziNtathu. Usuku lokuqala bazakuqhuba iimayile ezingama182. Kusuku olulandelayo bazakuqhuba iimayile ezingama439. Kusuku lwesiThathu bazakuqhuba iimayile ezingama217. Kokuphi ukwakhiwa okusondele ekuqikeleleni ukuba zingaphi iimayile abaziqhubileyo uJimmy noKima ukuya kuhambo lwabo?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	B) 200 + 400 + 200
11	Ngubani oshiyekayo xa usohlula u21 ngo7?	['21', '7', '1', 'Akukho nanye kwezi']	D	elementary_mathematics	D) Akukho nanye kwezi
12	UMaddie uzoqhuba ibhayikhi iimayile ezi56 kwiintsuku ezi7. Uzoqhuba inani leemayile usuku ngalunye. Zingaphi iimayile azoziqhuba ngosuku ngalunye zizonke?	['8', '9', '49', '63']	A	elementary_mathematics	A) 8
