question,choices,answer,subject,llm,prompt,llm_answer,accuracy
Gịnị ka p ga-apụta n'ime 24 = 2p?,"['p =4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,"[TextBlock(text='C) p = 12', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': ""Gịnị ka p ga-apụta n'ime 24 = 2p?\n A)p =4 B)p = 8 C)p = 12 D)p = 24""}]}]",C,1
"Ms.Perez kwọro ụgbọala  na ngụkọta maịlụ 40 n'ime mkpụrụ ụbọchị ise, ọ na-akwọ ụgbọala otuihe ọnụọgụgụ maịlụ ụbọchị ọbụla. Maịlụ ole ka Ms.Perez na-akwọ ụgbọala ụbọchị ọbụla?","['5', '7', '8', '9']",C,elementary_mathematics,"[TextBlock(text='C) 8\n\nTo solve this:\n* Total miles driven = 40 miles\n* Number of days = 5 days\n* Same distance driven each day\n* To find daily miles: 40 ÷ 5 = 8 miles per day\n\nTherefore, Ms. Perez drove 8 miles each day.', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ms.Perez kwọro ụgbọala  na ngụkọta maịlụ 40 n'ime mkpụrụ ụbọchị ise, ọ na-akwọ ụgbọala otuihe ọnụọgụgụ maịlụ ụbọchị ọbụla. Maịlụ ole ka Ms.Perez na-akwọ ụgbọala ụbọchị ọbụla?\n A)5 B)7 C)8 D)9""}]}]",C,1
chọta kwoshenti nke −40 ÷ (−8).,"[""1 n'elu 5"", '-5', ""-1 n'elu 5"", '5']",D,elementary_mathematics,"[TextBlock(text='B) -5', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': ""chọta kwoshenti nke −40 ÷ (−8).\n A)1 n'elu 5 B)-5 C)-1 n'elu 5 D)5""}]}]",B,0
"ndị otu sọka nwere $90.00 iji zụta bọọlụ sọka. Ọ bụrụ na bọọlụ sọka nọ n'ọnụ ego $15.60, kedu ọnụọgụgụ kachasi bọọlụ soka ndi otu ahu nwere ike ịzụta?","['4', '5', '6', '7']",B,elementary_mathematics,"[TextBlock(text=""B) 5\n\nTo solve this:\n1) Total money = $90.00\n2) Cost per ball = $15.60\n3) Number of balls = $90.00 ÷ $15.60 = 5.77...\n4) Since we can't buy a fraction of a ball, we round down to 5 balls.\n\nTherefore, the maximum number of soccer balls the team can buy is 5."", type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': ""ndị otu sọka nwere $90.00 iji zụta bọọlụ sọka. Ọ bụrụ na bọọlụ sọka nọ n'ọnụ ego $15.60, kedu ọnụọgụgụ kachasi bọọlụ soka ndi otu ahu nwere ike ịzụta?\n A)4 B)5 C)6 D)7""}]}]",,0
Gị na ndị enyi atọ gara ebe ngosi egwuregwu. Ngụkọta ọnụ ahia maka tiketị anọ bụ $112. Dee ma ruọ arụmarụ ịchọta ọnụ ahịa otu tiketị t.,"['4t=112; $448', '4t = 112; $28', ""t n'elu 4 = 112; $448"", ""t n'elu 4 = 112; $28""]",B,elementary_mathematics,"[TextBlock(text='B) 4t = 112; $28\n\nThe correct answer is B because:\n1. If 4 tickets cost $112 total\n2. To find the price of one ticket (t), we divide 112 by 4\n3. 4t = 112\n4. t = 112 ÷ 4 = $28\n\nTherefore, one ticket costs $28.', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': ""Gị na ndị enyi atọ gara ebe ngosi egwuregwu. Ngụkọta ọnụ ahia maka tiketị anọ bụ $112. Dee ma ruọ arụmarụ ịchọta ọnụ ahịa otu tiketị t.\n A)4t=112; $448 B)4t = 112; $28 C)t n'elu 4 = 112; $448 D)t n'elu 4 = 112; $28""}]}]",B,1
Jiri ngosipụta dị n'okpuru zaa ajụjụ ahụ.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Gịnị bụ uru ngosipụta ahụ pụtara?,"['9', '11', '26', '32']",C,elementary_mathematics,"[TextBlock(text=""C) 26\n\nLet me solve this step by step:\n\n1) First, solve what's inside the square brackets [...]\n   * (2 × 6 – 5) = 12 – 5 = 7\n   * (8 ÷ 4) = 2\n   * So now we have: 7 + 2 = 9\n\n2) The expression is now: 3 × 9 – 1\n\n3) 3 × 9 = 27\n   27 – 1 = 26\n\nTherefore, the answer is C) 26"", type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': ""Jiri ngosipụta dị n'okpuru zaa ajụjụ ahụ.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Gịnị bụ uru ngosipụta ahụ pụtara?\n A)9 B)11 C)26 D)32""}]}]",,0
Dee 1 na 1 n'elu 11 dika ozuzu ya ma ọ bụ ọnụ ọgụgụ agwakọtara n'ụdị kacha mfe,"[""1.1 n'elu 11"", ""11 n'elu 11"", ""12 n'elu 11"", ""11 n'elu 11""]",C,elementary_mathematics,"[TextBlock(text=""B) 11 n'elu 11"", type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': ""Dee 1 na 1 n'elu 11 dika ozuzu ya ma ọ bụ ọnụ ọgụgụ agwakọtara n'ụdị kacha mfe\n A)1.1 n'elu 11 B)11 n'elu 11 C)12 n'elu 11 D)11 n'elu 11""}]}]",,0
Chọta kwoshenti  nke 2.16 ÷ 0.06.,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"[TextBlock(text='B) 36', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Chọta kwoshenti  nke 2.16 ÷ 0.06.\n A)3.6 B)36 C)0.01272 D)12.72'}]}]",B,1
Chọta ihe dị iche nke 142.76 - 16.5.,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,"[TextBlock(text='D) 111', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Chọta ihe dị iche nke 142.76 - 16.5.\n A)159.26 B)2.224 C)14 D)111'}]}]",D,1
chọta kwoshenti nke 5.04/0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"[TextBlock(text='D) 7.2', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'chọta kwoshenti nke 5.04/0.7\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]",D,1
