question,choices,answer,subject,llm,prompt,llm_answer,accuracy
Kínni iyì p nínú 24 = 2p?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,"[TextBlock(text='C) p = 12', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kínni iyì p nínú 24 = 2p?\n A)p = 4 B)p = 8 C)p = 12 D)p = 24'}]}]",C,1
Ms. Perez wa àpapọ̀ máílì 40 ní ọjọ́ 5. Ó wa iye máílì yìí kan náà ní ọjọ́ kọ̀ọ̀kan. Iye máílì mélòó ni Ms. Perez wà ní ọjọ́ kọ̀ọ̀kan?,"['5', '7', '8', '9']",C,elementary_mathematics,"[TextBlock(text='C) 8\n\nThe solution:\nTo find how many miles Ms. Perez walked each day:\n* Total miles = 40\n* Number of days = 5\n* Miles per day = Total miles ÷ Number of days\n* Miles per day = 40 ÷ 5 = 8\n\nTherefore, Ms. Perez walked 8 miles each day.', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ms. Perez wa àpapọ̀ máílì 40 ní ọjọ́ 5. Ó wa iye máílì yìí kan náà ní ọjọ́ kọ̀ọ̀kan. Iye máílì mélòó ni Ms. Perez wà ní ọjọ́ kọ̀ọ̀kan?\n A)5 B)7 C)8 D)9'}]}]",C,1
Ṣàwarí òpó iye −40 ÷ (−8).,"['1 lórí 5', '-5', '−1 lórí 5', '5']",D,elementary_mathematics,"[TextBlock(text='B) -5', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ṣàwarí òpó iye −40 ÷ (−8).\n A)1 lórí 5 B)-5 C)−1 lórí 5 D)5'}]}]",B,0
"Ikọ̀ ẹgbẹ́ agbábọ́ọ́lù kan ní $90.00 láti ra bọ́ọ́lù aláfẹsẹ̀gbá. Tí bọ́ọ́lù aláfẹsẹ̀gbá kan bá jẹ́ $15.60 níye, kínni iye ònka bọ́ọ́lù aláfẹsẹ̀gbá tó pọ̀ jùlọ tí ikọ̀ náà lè rà?","['4', '5', '6', '7']",B,elementary_mathematics,"[TextBlock(text=""B) 5\n\nTo solve this:\n1) Total money available = $90.00\n2) Cost of one football = $15.60\n3) Number of footballs = $90.00 ÷ $15.60\n4) $90.00 ÷ $15.60 = 5.77...\n\nSince they can't buy a fraction of a football, and need to stay within their budget of $90.00, the maximum number of footballs they can buy is 5.\n\nTherefore, B) 5 is the correct answer."", type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ikọ̀ ẹgbẹ́ agbábọ́ọ́lù kan ní $90.00 láti ra bọ́ọ́lù aláfẹsẹ̀gbá. Tí bọ́ọ́lù aláfẹsẹ̀gbá kan bá jẹ́ $15.60 níye, kínni iye ònka bọ́ọ́lù aláfẹsẹ̀gbá tó pọ̀ jùlọ tí ikọ̀ náà lè rà?\n A)4 B)5 C)6 D)7'}]}]",,0
Ìwọ àti àwọn ọ̀rẹ́ mẹ́ta lọ sí àjọ̀dún orin kan. Àpapọ̀ iye owó fún tíkẹ́tì mẹ́rin jẹ́ $112. Kọ kí o sì ṣírò ìdọ́gba kan láti wá iye owó tíkẹ́tì kan.,"['4t = 112; $448', '4t = 112; $28', 't lórí 4 = 112; $448', 't lórí 4 = 112; $28']",B,elementary_mathematics,"[TextBlock(text='B) 4t = 112; $28\n\nThe equation 4t = 112 can be solved by dividing both sides by 4:\nt = 112 ÷ 4 = $28\n\nThis means each ticket costs $28.', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ìwọ àti àwọn ọ̀rẹ́ mẹ́ta lọ sí àjọ̀dún orin kan. Àpapọ̀ iye owó fún tíkẹ́tì mẹ́rin jẹ́ $112. Kọ kí o sì ṣírò ìdọ́gba kan láti wá iye owó tíkẹ́tì kan.\n A)4t = 112; $448 B)4t = 112; $28 C)t lórí 4 = 112; $448 D)t lórí 4 = 112; $28'}]}]",B,1
Lo gbólóhùn tó wà nísàlẹ̀ yìí láti dáhùn ìbéèrè náà. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Kínni iyì gbólóhùn náà?,"['9', '11', '26', '32']",C,elementary_mathematics,"[TextBlock(text='C) 26', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Lo gbólóhùn tó wà nísàlẹ̀ yìí láti dáhùn ìbéèrè náà. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Kínni iyì gbólóhùn náà?\n A)9 B)11 C)26 D)32'}]}]",C,1
Kọ 1 àti 1 lórí 11 gẹ́gẹ́ bíi nọ́mbà kan tàbí àdàpọ̀ nọ́mbà ní ìrísí tó rọrùn jùlọ.,"['1.1 lórí 11', '11 lórí 11', '12 lórí 11', '11 lórí 12']",C,elementary_mathematics,"[TextBlock(text='C) 12 lórí 11', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kọ 1 àti 1 lórí 11 gẹ́gẹ́ bíi nọ́mbà kan tàbí àdàpọ̀ nọ́mbà ní ìrísí tó rọrùn jùlọ.\n A)1.1 lórí 11 B)11 lórí 11 C)12 lórí 11 D)11 lórí 12'}]}]",C,1
Wá òpó iye 2.16 ÷ 0.06.,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"[TextBlock(text='B) 36', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wá òpó iye 2.16 ÷ 0.06.\n A)3.6 B)36 C)0.01272 D)12.72'}]}]",B,1
Wá ìyàtọ̀ tó wà láàárín 142.76 – 16.5.,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,"[TextBlock(text='D) 111', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wá ìyàtọ̀ tó wà láàárín 142.76 – 16.5.\n A)159.26 B)2.224 C)14 D)111'}]}]",D,1
Wá òpó iye 5.04/0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"[TextBlock(text='D) 7.2', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wá òpó iye 5.04/0.7\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]",D,1
