question,choices,answer,subject,llm,prompt,llm_answer,accuracy
p akamirira chii pa 24 = 2p?,"['p=4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,"[TextBlock(text='C) p = 12', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'p akamirira chii pa 24 = 2p?\n A)p=4 B)p = 8 C)p = 12 D)p = 24'}]}]",C,1
Ms Perezi vakatyaira mamaira anoita 40 mumazuva 5. Vaityaira  mamaira akafanana pazuva rega rega. Ms Perezi vakatyaira mamaira mangani pazuva rega rega? ,"['5', '7', '8', '9']",C,elementary_mathematics,"[TextBlock(text='C) 8\n\nTo solve this:\n40 mamaira ÷ 5 mazuva = 8 mamaira pazuva', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ms Perezi vakatyaira mamaira anoita 40 mumazuva 5. Vaityaira  mamaira akafanana pazuva rega rega. Ms Perezi vakatyaira mamaira mangani pazuva rega rega? \n A)5 B)7 C)8 D)9'}]}]",C,1
Tsvaka mhinduro ya −40 ÷ (−8).,"['1 pamusoro pa5', '-5', '-1 pamusoro pa 5', '5']",D,elementary_mathematics,"[TextBlock(text='D)5', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tsvaka mhinduro ya −40 ÷ (−8).\n A)1 pamusoro pa5 B)-5 C)-1 pamusoro pa 5 D)5'}]}]",D,1
"Chikwata chebhora remakumbo chine $90 yekutengesa mabhora. Kana bhora rimwe richiita $15.60, mabhora mangani angatengwe nechikwata ichi.","['4', '5', '6', '7']",B,elementary_mathematics,"[TextBlock(text=""Let me solve this step by step:\n\n1) The soccer team has $90 to spend on balls\n2) Each ball costs $15.60\n3) To find how many balls they can buy, divide $90 by $15.60\n4) $90 ÷ $15.60 = 5.77...\n\n5) Since they can't buy a fraction of a ball, they can only buy 5 complete balls\n   (as 6 balls would cost $93.60, which is more than they have)\n\nTherefore, B) 5 is the correct answer.\n\nB"", type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Chikwata chebhora remakumbo chine $90 yekutengesa mabhora. Kana bhora rimwe richiita $15.60, mabhora mangani angatengwe nechikwata ichi.\n A)4 B)5 C)6 D)7'}]}]",,0
Iwe neshamwari dzako nhatu maenda kukonzati. Matikiti mana anoita $112. Gadzira chinyorwa chinoita kuti uwane mari ye tikiti rimwechete ,"['4t= 112:448', '4t=112:$28', 't pamusoro pa 4 =112:$448', 't pamusoro pa =112:28']",B,elementary_mathematics,"[TextBlock(text='B) 4t=112:$28\n\nThe correct answer is B because:\n- We need to find the cost of one ticket (t)\n- We know 4 tickets cost $112\n- To find the cost of one ticket, we divide $112 by 4\n- 112 ÷ 4 = $28\n- Therefore, one ticket costs $28', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Iwe neshamwari dzako nhatu maenda kukonzati. Matikiti mana anoita $112. Gadzira chinyorwa chinoita kuti uwane mari ye tikiti rimwechete \n A)4t= 112:448 B)4t=112:$28 C)t pamusoro pa 4 =112:$448 D)t pamusoro pa =112:28'}]}]",B,1
Shandisa chinyorwa chiripasi kupindura mibvunzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1. Chinyorwa ichi chakamirira chii?,"['9', '11', '26', '32']",C,elementary_mathematics,"[TextBlock(text=""Let me solve this step by step:\n\n1) First, let's solve what's inside the square brackets []\n   * (2 × 6 – 5) + (8 ÷ 4)\n   * First: 2 × 6 = 12\n   * Then: 12 – 5 = 7\n   * And: 8 ÷ 4 = 2\n   * So inside brackets becomes: 7 + 2 = 9\n\n2) Now we have: 3 × 9 – 1\n\n3) 3 × 9 = 27\n   27 – 1 = 26\n\nTherefore, 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 = 26\n\nThe answer is C) 26"", type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Shandisa chinyorwa chiripasi kupindura mibvunzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1. Chinyorwa ichi chakamirira chii?\n A)9 B)11 C)26 D)32'}]}]",,0
Nyora 1 na 1 pamusoro pa 11 se nhamba yakazara kana kuti senhamba yakasanganiswa yakadzikiswa pasi ,"['1.1 pamusoro pa 11', '11 pamusoro pa 11', '12 pamusoro pa 11', '11 pamusoro pa 12']",C,elementary_mathematics,"[TextBlock(text='C) 12 pamusoro pa 11', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nyora 1 na 1 pamusoro pa 11 se nhamba yakazara kana kuti senhamba yakasanganiswa yakadzikiswa pasi \n A)1.1 pamusoro pa 11 B)11 pamusoro pa 11 C)12 pamusoro pa 11 D)11 pamusoro pa 12'}]}]",C,1
Tsvaka mhinduro pa 2.16 ÷ 0.06.,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"[TextBlock(text='B) 36', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tsvaka mhinduro pa 2.16 ÷ 0.06.\n A)3.6 B)36 C)0.01272 D)12.72'}]}]",B,1
Tsvaga musiyano wa 142.76 – 16.5.,"['159.26', '2.224', '14.111', '126.26']",D,elementary_mathematics,"[TextBlock(text='D) 126.26', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tsvaga musiyano wa 142.76 – 16.5.\n A)159.26 B)2.224 C)14.111 D)126.26'}]}]",D,1
Tsvaka mhinduro pa 5.04/0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"[TextBlock(text='D) 7.2', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tsvaka mhinduro pa 5.04/0.7\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]",D,1
