question,choices,answer,subject,llm,prompt,llm_answer,accuracy
Lithini inani lika p ku 24 = 2p?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,"[TextBlock(text='C) p = 12', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Lithini inani lika p ku 24 = 2p?\n A)p = 4 B)p = 8 C)p = 12 D)p = 24'}]}]",C,1
UNkszn. Perez washayela indawo ende kangango 40 wamamayela izinsuku eziwu 5. Washayela isamba senamba alinganayo amamayela usuku nosuku. Mangaki amamayela uNkszn. Perez awashayele usuku nosuku?,"['5', '7', '8', '9']",C,elementary_mathematics,"[TextBlock(text='C) 8\n\nTo solve this:\n* Total distance = 40 miles\n* Number of days = 5\n* Equal miles driven each day\n* To find miles per day: 40 ÷ 5 = 8 miles per day\n\nTherefore, Mr. Perez drove 8 miles each day.', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'UNkszn. Perez washayela indawo ende kangango 40 wamamayela izinsuku eziwu 5. Washayela isamba senamba alinganayo amamayela usuku nosuku. Mangaki amamayela uNkszn. Perez awashayele usuku nosuku?\n A)5 B)7 C)8 D)9'}]}]",C,1
Thola i-qoutient ka −40 ÷ (−8).,"['1 ngaphezu kuka 5', '-5', '−1 ngaphezu kuka 5', '5']",D,elementary_mathematics,"[TextBlock(text='A) 1 ngaphezu kuka 5\n\nThe quotient of -40 ÷ (-8) = 5\nWhen dividing two negative numbers, the result is positive.\n-40 ÷ (-8) = 5\nTherefore, 1 ngaphezu kuka 5 (1 more than 5) is the correct answer.', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thola i-qoutient ka −40 ÷ (−8).\n A)1 ngaphezu kuka 5 B)-5 C)−1 ngaphezu kuka 5 D)5'}]}]",A,0
"Iqembu lebhola lino $90.00 ukuthenga amabhola. Uma ibhola elilodwa libiza u$15.60, ubani inamba enkulu yamabhola iqembu elingawathenga?","['4', '5', '6', '7']",B,elementary_mathematics,"[TextBlock(text=""B) 5\n\nTo solve this:\n$90.00 ÷ $15.60 = 5.77...\n\nSince we can't buy a fraction of a ball, and we need the largest number of whole balls that can be bought with $90.00, the answer is 5 balls."", type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Iqembu lebhola lino $90.00 ukuthenga amabhola. Uma ibhola elilodwa libiza u$15.60, ubani inamba enkulu yamabhola iqembu elingawathenga?\n A)4 B)5 C)6 D)7'}]}]",,0
Wena nabangani bakho abathathu niya kwikhonsethi. Isamba senani lamathikithi amane u$112. Bhala futhi uxazulule lesibalo ukuthi uthole inani lethikithi elilodwa.,"['4t = 112; $448', '4t = 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']",B,elementary_mathematics,"[TextBlock(text='B) 4t = 112; $28\n\nThe correct answer is B because:\n- We need to find the cost of one ticket (t)\n- We know 4 tickets cost $112\n- Using the equation: 4t = 112\n- Solving for t: t = 112 ÷ 4 = $28\n\nTherefore, one ticket costs $28.', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wena nabangani bakho abathathu niya kwikhonsethi. Isamba senani lamathikithi amane u$112. Bhala futhi uxazulule lesibalo ukuthi uthole inani lethikithi elilodwa.\n A)4t = 112; $448 B)4t = 112; $28 C)t over 4 = 112; $448 D)t over 4 = 112; $28'}]}]",B,1
Sebenzisa lesibalo esingezansi  ukuphendula lombuzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ubani inani lwalokhu okuveziwe lana? ,"['9', '11', '26', '32']",C,elementary_mathematics,"[TextBlock(text=""Let me solve this step by step:\n\n1) First, let's solve what's inside the square brackets [...]\n   * Starting with (2 × 6 – 5):\n     * 2 × 6 = 12\n     * 12 – 5 = 7\n   * Then (8 ÷ 4):\n     * 8 ÷ 4 = 2\n   * Now add these results:\n     * 7 + 2 = 9\n\n2) Now we have: 3 × [9] – 1\n\n3) Multiply:\n   * 3 × 9 = 27\n\n4) Finally, subtract 1:\n   * 27 – 1 = 26\n\nTherefore, the answer is 26.\n\nC) 26"", type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sebenzisa lesibalo esingezansi  ukuphendula lombuzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ubani inani lwalokhu okuveziwe lana? \n A)9 B)11 C)26 D)32'}]}]",,0
Bhala 1 kanye no 1 phezu kwa 11 kube onumber eyodwa noma inamba ehlanganisile ngendlela elula,"['1.1 ngaphezu kwa 11', '11 ngaphezu kwa 11', '12 ngaphezu kwa 11', '11 ngaphezu kwa 12']",C,elementary_mathematics,"[TextBlock(text='A) 1.1 ngaphezu kwa 11', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Bhala 1 kanye no 1 phezu kwa 11 kube onumber eyodwa noma inamba ehlanganisile ngendlela elula\n A)1.1 ngaphezu kwa 11 B)11 ngaphezu kwa 11 C)12 ngaphezu kwa 11 D)11 ngaphezu kwa 12'}]}]",A,0
Thola i-qoutient ka 2. 16 ÷  0.06 ,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"[TextBlock(text='The correct answer is B) 36\n\nTo solve 2.16 ÷ 0.06:\n1) When dividing by a decimal, we can multiply both numbers by a power of 10 to make the divisor a whole number\n2) Multiply both numbers by 100:\n   2.16 × 100 = 216\n   0.06 × 100 = 6\n3) Now solve: 216 ÷ 6 = 36\n\nTherefore, 2.16 ÷ 0.06 = 36', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thola i-qoutient ka 2. 16 ÷  0.06 \n A)3.6 B)36 C)0.01272 D)12.72'}]}]",,0
Thola umehluko ka 142.76 - 16.5 ,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,"[TextBlock(text='The correct answer is: A) 159.26', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thola umehluko ka 142.76 - 16.5 \n A)159.26 B)2.224 C)14 D)111'}]}]",,0
Thola i-qoutient ka 5.04/0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"[TextBlock(text='D) 7.2', type='text')]","[{'role': 'user', 'content': [{'type': 'text', 'text': 'Thola i-qoutient ka 5.04/0.7\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]",D,1
