Unnamed: 0,question,choices,answer,subject,llm,accuracy
0,P kyerɛpɛn a ɛwɔ 24 = 2p no yɛ den?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,C) p = 12,1
1,Ms. Perez twii ne hyɛn kwansini 40 nna num mu. ɔtwii saa kwansini yi da biara. Kwansini sɛn na Ms. Perez twiiɛ da biara?,"['5', '7', '8', '9']",C,elementary_mathematics,C) 8,1
2,Pɛ nkyɛmade a ɛwɔ saa nkasaeɛ yi mu: −40 ÷ (−8).,"['1 wɔ 5 so', '-5', '−1 wɔ 5 so', '5']",D,elementary_mathematics,D) 5,1
3,"Bɔɔlobɔ kuo bi wɔ $90.00 a ɔde tɔ bɔɔlo. Sɛ bɔɔlo baako boɔ yɛ $15.60, bɔɔlo bebree sɛn na bɔɔlobɔkuo no bɛtumi atɔ?","['4', '5', '6', '7']",B,elementary_mathematics,B) 5,1
4,Wo ne wo nnanfo mmiɛnsa kɔɔ agodibea bi ase. Tekiti nnan boɔ yɛ $112. Twerɛ na pɛ tipɛn nkasaeɛ a wɔde benya tekiti baako a ɛyɛ t boɔ.,"['4t = 112; $448', '4t = 112; $28', 't wɔ 4 so = 112; $448', 't wɔ 4 so = 112; $28']",B,elementary_mathematics,B) 4t = 112; $28,1
5,Fa saa nkasaeɛ a ɛwɔ aseɛ ha yi asɛmbisa yi ano: 3 x [(2 x 6– 5) + (8 ÷ 4)] – 1. Kyerɛpɛn a ɛwɔ nkasaeɛ no ho yɛ dɛn?,"['9', '11', '26', '32']",C,elementary_mathematics,"Yɛbɛtumi asɛm no aseɛ yi:

3 x [(2 x 6– 5) + (8 ÷ 4)] – 1

1. 2 x 6 = 12
2. 12 - 5 = 7
3. 8 ÷ 4 = 2
4. 7 + 2 = 9
5. 3 x 9 = 27
6. 27 - 1 = 26

Kyerɛpɛn a ɛwɔ nkasaeɛ no ho yɛ: C) 26",1
6,Twerɛ 1 ne 11 sɛ akontabudeɛ a ɛyɛ mua anaa deɛ adi afra wɔ ne kwan tiawa so.,"['1.1 wɔ 11 so', '11 wɔ 11 so', '12 wɔ 11 so', '11 wɔ 12 so']",C,elementary_mathematics,C) 12 wɔ 11 so,1
7,Hwehwɛ nkyɛmade a ɛwɔ 2.16 ÷ 0.06 mu,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,B) 36,1
8,Hwehwɛ ntemu a ɛwɔ 142.76 – 16.5 mu,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,D) 126.26,1
9,Hwehwɛ nkyɛmade a ɛwɔ 5.04/0.7 mu,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,D) 7.2,1
